Phụ lục II
DANH MỤC CÁC CƠ SỞ PHÁT THẢI KHÍ NHÀ KÍNH PHẢI THỰC HIỆN KIỂM KÊ KHÍ NHÀ KÍNH
NGÀNH CÔNG THƯƠNG
*(Kèm theo Quyết định số      /2024/QĐ-TTg ngày     tháng      năm 2024 của Thủ tướng Chính phủ)*
| STT | Tên cơ sở | Địa chỉ | Ngành nghề/Loại hình kinh doanh | Tiêu thụ năng lượng (TOE) |
| --- | --- | --- | --- | --- |
| I. TÂY BẮC BỘ |
| 1. Tỉnh Hòa Bình |
| 1 | Công ty TNHH sản xuất hàng may mặc Esquel Việt Nam Hòa Bình | KCN Lương Sơn, xã Hòa Sơn, huyện Lương Sơn, tỉnh Hòa Bình | Sản xuất hàng may mặc | 1.438 |
| 2 | Công ty TNHH Almine Việt Nam | KCN Lương Sơn, xã Hòa Sơn, huyện Lương Sơn, tỉnh Hòa Bình | Sản xuất Nhôm sợi và Nhôm thanh | 2.084 |
| 3 | Công ty TNHH Doosung Tech Việt Nam | KCN Lương Sơn, xã Hòa Sơn, huyện Lương Sơn, tỉnh Hòa Bình | Sản xuất linh kiện điện tử | 1.243 |
| 4 | Công ty TNHH HNT VINA | KCN Lương Sơn, xã Hòa Sơn, huyện Lương Sơn, tỉnh Hòa Bình | Sản xuất linh kiện điện tử | 2.812 |
| 5 | Công ty TNHH MDF Vinafor Tân An Hòa Bình | Xã Lạc Thịnh, huyện Yên Thủy, tỉnh Hòa Bình | Sản xuất sản phẩm khác từ gỗ; sản xuất sản phẩm từ tre, nứa, rơm, rạ và vật liệu tết bện | 2.613 |
| 6 | Công ty TNHH Một thành viên Tân Hiếu Hưng | Xóm Bùi, xã Tân Mỹ, huyện Lạc Sơn, tỉnh Hòa Bình | Sản xuất tinh bột sắn | 1.100 |
| 7 | Nhà máy thủy điện Hòa Bình | Số 428 đường Hòa Bình, phường Tân Thịnh, thành phố Hòa Bình, tỉnh Hòa Bình | Sản xuất điện | 1.923 |
| 2. Tỉnh Sơn La |
| 8 | Nhà máy thủy điện Sơn La | Số 56 - đường Lò Văn Giá, phường Chiềng Lề, thành phố Sơn La | Sản xuất điện | 9.824 |
| 9 | Công ty cổ phần Mía Đường Sơn La | Thị trấn Hát Lót, huyện Mai Sơn | Sản xuất đường | 2.587 |
| 10 | Công ty chè Việt nam - Vinatea Mộc Châu | Thị trấn nông trường Mộc Châu, huyện  Mộc Châu | Sản xuất chè | 1.204 |
| 11 | Nhà máy gạch tuynel Phù Yên *(Công ty CP Thành An Sơn La)* | Bản Chài 1, xã Huy Thượng, huyện Phù Yên | Sản xuất vật liệu xây dựng từ đất sét | 7.270 |
| 12 | Nhà máy gạch tuynel Sơn Hưng trung | Phường Chiềng Sinh, TP Sơn La | Sản xuất vật liệu xây dựng từ đất sét | 3.037 |
| 13 | Nhà máy gạch tuynel Mộc Châu (Công ty CP vật liệu xây dựng 1 Sơn La) | Xã Mường Sang, huyện Mộc Châu | Sản xuất vật liệu xây dựng từ đất sét | 1.875 |
| 14 | Nhà máy gạch tuynel Quyết Tiến Sông Mã | Bản Quyết Tiến, xã Nà Nghịu, huyện Sông Mã | Sản xuất vật liệu xây dựng từ đất sét | 2.732 |
| 15 | Công ty Cổ phần gạch Mai Sơn | Bản Bon, xã Mường Bon, huyện Mai Sơn | Sản xuất sản phẩm chịu lửa | 2.893 |
| 3. Tỉnh Lai Châu |
| 16 | Công ty Thủy điện Sơn La | Số 56, đường Lò Văn Giá. Tổ 03, phường Chiền Lề, TP Sơn La, tỉnh Sơn La | Sản xuất điện |  |
| 17 | Công ty Thủy điện Huội Quảng - Bản Chát | Bản Nà Khiết, xã Mường Cang, huyện Than Uyên, tỉnh Lai Châu | Sản xuất điện | 2.036,15 |
| 4. Tỉnh Lào Cai |
| 18 | Công ty Cổ phần Phốt pho Việt Nam | KCN Tằng Loỏng, huyện Bảo Thắng, tỉnh Lào Cai | Sản xuất hóa chất | 14.198 |
| 19 | Công ty Cổ phần Phốt pho Vàng Lào Cai | KCN Tằng Loỏng, huyện Bảo Thắng, tỉnh Lào Cai | Sản xuất hóa chất cơ bản | 25.300 |
| 20 | Công ty Cổ phần DAP số 2 - VINACHEM | KCN Tằng Loỏng, huyện Bảo Thắng, tỉnh Lào Cai | Sản xuất hóa chất | 20.918 |
| 21 | Công ty TNHH phốt pho vàng Việt Nam | KCN Tằng Loỏng, huyện Bảo Thắng, tỉnh Lào Cai | Sản xuất hóa chất | 45.759 |
| 22 | Công ty TNHH Đông Nam Á Lào Cai | KCN Tằng Loỏng, huyện Bảo Thắng, tỉnh Lào Cai | Sản xuất hóa chất | 99.965 |
| 23 | Công ty Cổ phần hóa chất Đức Giang Lào Cai | KCN Tằng Loỏng, huyện Bảo Thắng, tỉnh Lào Cai | Sản xuất hóa chất | 240.334 |
| 24 | Công ty Cổ phần khoáng sản 3 - Vimico | Tổ 30, phường Duyên Hải, thành phố Lào Cai, tỉnh Lào Cai | Khai thác khoáng sản | 1.003 |
| 25 | Công ty mỏ tuyển đồng Sin Quyền Lào Cai | Xã Bản Vược, huyện Bát Xát, tỉnh Lào Cai | Mỏ và khai khoáng | 26.200 |
| 26 | Công ty TNHH MTV Apatit Việt Nam | Phường Bắc Cường, thành phố Lào Cai, tỉnh Lào Cai | Khai thác chế biến và tuyển quặng Apatit | 23.228 |
| 27 | Công ty TNHH MTV đầu tư tổng hợp Đức Tiến | Đội 3 xã Bản Vược, huyện Bát Xát, tỉnh Lào Cai | Sản xuất sản phẩm chịu lửa | 7.055 |
| 28 | Công ty luyện đồng Lào Cai | KCN Tằng Loỏng, huyện Bảo Thắng, tỉnh Lào Cai | Luyện kim | 20.295 |
| 29 | Công ty TNHH khoáng sản và luyện kim Việt Trung | KCN Tằng Loỏng, huyện Bảo Thắng, tỉnh Lào Cai | Sản xuất sắt, thép, gang | 35.316 |
| 5. Tỉnh Yên Bái |
| 30 | Công ty Cổ phần Khoáng sản công nghiệp Yên Bái | KCN phía Nam, xã Văn Tiến, thành phố Yên Bái, tỉnh Yên Bái | Sản xuất bột CaCO3 | 5.170 |
| 31 | Công ty Cổ phần Kỹ thuật Hoàng Liên Sơn | Số 93 đường Lê Lợi, phường Yên Ninh, thành phố Yên Bái, tỉnh Yên Bái | Sản xuất sản phẩm sứ cách điện | 1.310 |
| 32 | Công ty Cổ phần An Tiến Indusreies | KCN phía Nam, xã Văn Tiến, thành phố Yên Bái, tỉnh Yên Bái | Sản xuất chất nhựa phụ gia | 2.841 |
| 33 | Công ty Cổ phần Quốc tế Khoáng sản Việt Nam | KCN phía Nam, xã Văn Tiến, thành phố Yên Bái, tỉnh Yên Bái | Sản xuất bột đá canxi cacbonat | 2.315 |
