TT,Ten_don_vi,Ten_mo_xa,Huyen_cu,Loai_KS,So_GP,Ngay_cap,Ngay_het_han,Dien_tich_ha,Co_quan_cap,Ghi_chu
1,Công ty Cổ phần Đầu tư Khai thác Khoáng sản Việt Nam ,"Đầm Tân Minh, xã Mông Sơn",Yên Bình ,Đá vôi trắng,936/GP-BTNMT,06/05/2008,06/05/2009,19,Bộ cấp,Hết hạn
2,Công ty Cổ phần Đầu tư LHB Đại Việt,"Điểm cát, sỏi sông Hồng, xã An Bình",Văn Yên,"Cát, sỏi",2373/GP-UBND,21/10/2019,21/10/2020,9.5,Tỉnh cấp,Hết hạn
3,Công ty Cổ phần Đầu tư Tài nguyên Cửu Long Yên Bái,Xã Châu Quế Hạ và Xuân Tầm,Văn Yên,Mangan,1086/GP-BTNMT,21/06/2010,21/06/2011,376,Bộ cấp,Hết hạn
4,Công ty Cổ phần Đầu tư Thương mại Quốc tế Thiên Thanh,"Đá hoa Đầm Tân Minh III, xã Mông Sơn",Yên Bình ,Đá vôi trắng,2335/GP-BTNMT,07/12/2009,07/12/2010,22.6,Bộ cấp,Hết hạn
5,Công ty Cổ phần Đầu tư Xuất nhập khẩu Thương mại Hà Nội ,"Đá hoa Liễu Đô - Minh Tiến, xã Liễu Đô và xã Minh Tiến ",Lục Yên,Đá vôi trắng,879/GP-BTNMT,15/05/2014,15/05/2018,83.6,Bộ cấp,Hết hạn
6,Công ty Cổ phần Đầu tư Xuất nhập khẩu Thương mại Hà Nội ,"Đá hoa An Phú 1 - An Phú 2, xã An Phú",Lục Yên,Đá vôi trắng,880/GP-BTNMT,15/05/2014,15/05/2018,53.8,Bộ cấp,Hết hạn
7,Công ty Cổ phần Khai thác đá và Xây dựng Đại tượng Phật Tây Thiên,Đá metacarbonat làm ốp lát xã Suối Giàng,Văn Chấn,"Đá ốp lát, mỹ nghệ",1297/GP-BTNMT,24/05/2019,24/05/2023,9.5,Bộ cấp,Hết hạn
8,Công ty TNHH MTV Khai thác và Chế biến khoáng sản Vũ Gia Yên Bái (trước kia là Công ty TNHH Một thành viên Vũ Gia Yên Bái),"Phan Thanh 1 - Phan Thanh 2, xã Phan Thanh",Lục Yên,Đá vôi trắng,3363/GP-BTNMT,27/12/2017,27/12/2021,11,Bộ cấp,Hết hạn
9,Công ty Cổ phần Khoáng sản Lục Yên,"Thôn 8, xã Mường Lai (chuyển nhượng)",Lục Yên,Đá vôi trắng,317/GP-BTNMT,12/02/2019,02/02/2020,53.8,Bộ cấp,Hết hạn
10,Công ty Cổ phần Khoáng sản Tây Giang Yên Bình,"Làng Rẩy - Núi Ngàng, xã Cẩm Nhân và xã Mỹ Gia",Yên Bình ,Chì - kẽm,1802/GP-BTNMT,16/07/2019,16/07/2023,67.23,Bộ cấp,Hết hạn
11,Công ty Cổ phần Khoáng sản và Xây dựng Hà Nội,"Đá hoa Liễu Đô 3, xã Liễu Đô",Lục Yên,Đá vôi trắng,1056/GP-BTNMT,10/06/2009,10/12/2010,45,Bộ cấp,Hết hạn
12,Công ty Cổ phần Khoáng sản Yên Bái VPG,"Cốc Há III, TT. Yên Thế",Lục Yên ,Đá vôi trắng,1063/GP-BTNMT,11/08/2006,11/02/2007,6.3,Bộ cấp,Hết hạn
13,Công ty Cổ phần Khoáng sản Yên Bái VPG,"Các xã: An Bình, Đông Cuông, Ngòi A và Yên Thái",Văn Yên,Grafit,312/GP-BTNMT,30/01/2018,30/01/2022,189.3,Bộ cấp,Hết hạn
14,Công ty Cổ phần Mông Sơn,Xã Nậm Búng và xã Gia Hội,Văn Chấn,Thạch anh,1923/GP-BTNMT,09/11/2012,09/11/2014,43,Bộ cấp,Hết hạn
15,Công ty Cổ phần Phát Triển,"Mông Sơn IV, xã Mông Sơn",Yên Bình ,Đá vôi trắng,213/GP-BTNMT,01/02/2008,01/02/2009,10.6,Bộ cấp,Hết hạn
16,Công ty Cổ phần Sản xuất vật liệu xây dựng Bảo Hưng,"Mỏ sét thôn Đồng Quýt, xã Minh Quân",Trấn Yên,Đất làm gạch,511/GP-UBND,13/04/2010,13/07/2010,7.3,Tỉnh cấp,Hết hạn
17,Công ty Cổ phần Thương mại và Dịch vụ tổng hợp An Bình,Xã Minh Tiến,Lục Yên ,Đá vôi trắng,935/GP-BTNMT,06/05/2008,05/11/2009,56.63,Bộ cấp,Hết hạn
18,Công ty Cổ phần Toàn Kim Sơn,02 điểm than nâu xã Suối Quyền (khu vực trúng đấu giá),Văn Chấn,Than,1252/GP-UBND,11/07/2018,11/09/2019,6.1,Tỉnh cấp,Hết hạn
19,Công ty Cổ phần VLXD Kiên Long,"Điểm cát, sỏi sông Hồng, xã Minh Quân (khu vực trúng đấu giá)",Trấn Yên,"Cát, sỏi",1242/GP-UBND,11/07/2019,11/02/2020,7.8,Tỉnh cấp,Hết hạn
20,Công ty Cổ phần Xây dựng giao thông Yên Bái,Đá vôi xã Mỹ Gia (khu vực trúng đấu giá),Yên Bình ,Đá làm VLXDTT,1746/GP-UBND,09/09/2019,09/09/2020,4.3,Tỉnh cấp,Hết hạn
21,Công ty Cổ phần Xây dựng và Công nghệ Thành Hưng,"Đá thôn An Khang, xã Đông An",Văn Yên ,Đá làm VLXDTT,511/GP-UBND,15/04/2011,15/07/2011,6,Tỉnh cấp,Hết hạn
22,Công ty Cổ phần Xây dựng và Thương mại Tiến Thành,"Đất làm gạch thôn Yên Thành, xã Yên Hợp",Văn Yên,Đất làm gạch,1042/GP-UBND,08/07/2010,08/09/2010,6.18,Tỉnh cấp,Hết hạn
23,Công ty TNHH Anh Minh,"Đá Bản Thào Chua Chải, xã Nậm Có",Mù Cang Chải,Đá làm VLXDTT,76/GP-UBND,22/01/2010,22/04/2010,3.1,Tỉnh cấp,Hết hạn
24,Công ty TNHH Đầu tư xây dựng Pride Việt Nam,"Điểm cát, sỏi sông Chảy, xã Tô Mâu và xã Minh Chuẩn (khu vực trúng đấu giá)",Lục Yên,"Cát, sỏi",432/GP-UBND,28/03/2018,28/10/2018,10.35,Tỉnh cấp,Hết hạn
25,Công ty TNHH Hùng C4,"01 điểm cát, sỏi sông Hồng, xã Đông Cuông",Văn Yên,"Cát, sỏi",629/GP-UBND,12/04/2019,12/11/2019,8.12,Tỉnh cấp,Hết hạn
26,Công ty TNHH Khai thác Chế biến khoáng sản Cát Tường và Công ty Cổ phần Mông Sơn,Xã Bản Mù và xã Làng Nhì,Trạm Tấu,Thạch anh,584/GP-BTNMT,22/04/2013,22/04/2016,41,Bộ cấp,Hết hạn
27,Công ty TNHH Mạnh Hùng YB,"Điểm cát, sỏi sông Hồng, xã Minh Quân (khu vực trúng đấu giá)",Trấn Yên,"Cát, sỏi",1241/GP-UBND,11/07/2019,11/02/2020,10.4,Tỉnh cấp,Hết hạn
28,Công ty TNHH Tập đoàn Graphite Việt Nam (tên cũ Công ty TNHH Thương mại Ngọc Viễn Đông),Kaolin - felspat xã Báo Đáp (gia hạn),Trấn Yên,Kaolin,376/GP-BTNMT,13/03/2017,18/07/2018,148,Bộ cấp,Hết hạn
29,Công ty TNHH Thiết bị máy và Xây dựng Hoàng Long,"05 điểm cát, sỏi thuộc xã Sơn Thịnh, huyện Văn Chấn; xã Phù Nham xã Nghĩa Lộ, thị xã Nghĩa Lộ  (khu vực trúng đấu giá)","Văn Chấn
Nghĩa Lộ","Cát, sỏi",3110/GP-UBND,29/11/2017,29/06/2018,10.58,Tỉnh cấp,Hết hạn
30,Công ty TNHH Thương mai và Dịch vụ Phước Thành,"Kaolin - felspat xã Yên Thái, Văn Yên và xã Báo Đáp, Trấn Yên (gia hạn)","Trấn Yên
Văn Yên",Kaolin,1584/GP-BTNMT,18/05/2018,10/03/2020,168.6,Bộ cấp,Hết hạn
31,Công ty TNHH Tổng Công ty Hòa Bình Minh,"Mông Sơn V, xã Mông Sơn",Yên Bình ,Đá vôi trắng,612/GP-BTNMT,26/03/2008,26/03/2009,52,Bộ cấp,Hết hạn
32,Công ty TNHH Việt Á,"Đá trang trí mỹ nghệ Suối Giàng 1, xã Suối Giàng (khu vực trúng đấu giá)",Văn Chấn,"Đá ốp lát, mỹ nghệ",3299/GP-BTNMT,25/12/2019,25/12/2021,31,Bộ cấp,Hết hạn
33,Công ty Cổ phần Đầu tư Thương mại Thành Phát,"Đá hoa trắng Tổ 10, thị trấn Yên Thế",Lục Yên,Đá vôi trắng,241/GP-BTNMT,09/12/2020,09/04/2023,4.035,Bộ cấp,Hết hạn
34,Công ty TNHH Vương Ưng,Đá vôi xã Chấn Thịnh,Văn Chấn,Đá làm VLXDTT,392/GP-UBND,29/03/2010,29/08/2010,20.3,Tỉnh cấp,Hết hạn
35,Công ty TNHH Xây dựng Bình Long,"Mông Sơn VIII, xã Mông Sơn",Yên Bình ,Đá vôi trắng,1134/GP-BTNMT,30/05/2008,30/05/2009,15,Bộ cấp,Hết hạn
36,Công ty TNHH Xây dựng công trình và Thương mại Nam Linh,"Đá vôi thôn 7 Đồng Phú, xã Việt Cường",Trấn Yên,Đá làm VLXDTT,1424/GP-UBND,22/09/2009,22/12/2009,1,Tỉnh cấp,Hết hạn
37,Doanh nghiệp tư nhân Thành Hương,"Đá vôi Bản Tín, xã Đồng Khê",Văn Chấn,Đá làm VLXDTT, 2108/GP-UBND,16/12/2010,16/03/2011,3.88,Tỉnh cấp,Hết hạn
38,"Tổng Công ty Cổ phần Xây dựng Công nghiệp Việt Nam, VINAINCON","Đá Gabro Háng Đề Chơ - Chống Chùa - Tà Cao, xã Tà Si Láng và xã Làng Nhì (gia hạn)",Trạm Tấu ,"Đá ốp lát, mỹ nghệ",1090/GP-BTNMT,10/06/2014,28/02/2016,42.69,Bộ cấp,Hết hạn
39,Công ty TNHH Hiệp Phú,"Điểm cát, sỏi sông Hồng, xã Yên Hợp (khu vực trúng đấu giá)",Văn Yên,"Cát, sỏi",1718/GP-UBND,06/08/2020,06/06/2021,7,Tỉnh cấp,Hết hạn
40,Công ty TNHH XNK TM Giang Sơn,"Điểm cát, sỏi sông Hồng, xã Minh Quân (khu vực trúng đấu giá)",Trấn Yên,"Cát, sỏi",454/GP-UBND,19/03/2021,19/03/2022,5.7,Tỉnh cấp,Hết hạn
41,Công ty TNHH XNK TM Giang Sơn,"Sét làm gạch và cát, sỏi (đi kèm), Bảo Hưng 1, xã Minh Quân, huyện Trấn Yên và phường Hợp Minh, thành phố Yên Bái (khu vực trúng đấu giá)","Trấn Yên
TP. Yên Bái",Đất làm gạch,612/GP-UBND,15/04/2022,15/04/2023,26.8,Tỉnh cấp,Hết hạn
42,Công ty TNHH Kiệt Lâm,"Mỏ đá vôi Khe Chằm, xã An Thịnh",Văn Yên ,Đá làm VLXDTT,705/GP-UBND,17/04/2024,17/04/2026,1.44,Tỉnh cấp,Hết hạn
43,Công ty Cổ phần Khai thác Sản xuất và Xây dựng huyện Văn Yên ,"Đá vôi Chiềng Pằn, xã Gia Hội",Văn Chấn,Đá làm VLXDTT,1466/GP-UBND,16/07/2024,16/01/2026,1.8,Tỉnh cấp,Hết hạn
