TT,Ten_don_vi,Ten_mo_xa,Dia_chi_huyen_cu,Loai_KS,So_GP,Ngay_cap,Ngay_het_han,Dien_tich_ha,Co_quan_cap,Ghi_chu,CS_m3,CS_tan,Hien_trang,Nop_TKM,TB_GDDH_mo,Ban_giao_moc,Tram_can,Camera,Ky_quy_PHMT,QD_thue_dat,GP_KT_nuoc,GPMT,GP_VLN
1,Chi nhánh Công ty TNHH Khoáng sản Tây Bắc,Mỏ sắt xã Khai Trung,Lục Yên ,Quặng sắt,482/GP-UBND,13/04/2007,13/04/2010,6.48,Tỉnh cấp,Hết hạn,,10000,Dừng KT; Đề nghị ĐCM,,,,,,,,,,
2,Chi nhánh Công ty TNHH Khoáng sản Tây Bắc,Mỏ sắt xã Khai Trung,Lục Yên ,Quặng sắt,211/GP-UBND,09/06/2006,09/06/2009,2.6,Tỉnh cấp,Hết hạn,,10000,Dừng KT; Đề nghị ĐCM,,,,,,,,,,
3,Công ty Cổ phần Cường Thịnh,"Đá vôi và đá cát bột kết Thôn 7A Đồng Phú, xã Việt Cường",Trấn Yên ,Đá làm VLXDTT,53/GP-UBND,16/01/2014,16/07/2022,5,Tỉnh cấp,Hết hạn,20000,,Đang KT,a,a,a,,,a,,,,
4,Công ty Cổ phần Đá cẩm thạch Dốc Thẳng,"Dốc Thẳng, thị trấn Yên Thế","Thôn Ngòi Kèn, Xã Lục Yên, Tỉnh Lào Cai, Việt Nam",Đá vôi trắng,221/GP-BTNMT,23/01/2018,23/01/2048,11.12,Bộ cấp,,43272,108730,"Dừng KT
(tại VB số 43/2022/TB-CTDT ngày 14/3/2022, do không có chỗ đổ thải)",a,-,a,,,,a,,,
5,Công ty Cổ phần Đá quý và Vàng Yên Bái ,Xã Liễu Đô,"Thôn Ngòi Kèn, Xã Lục Yên, Tỉnh Lào Cai, Việt Nam",Đá vôi trắng,971/GP-BTNMT,27/06/2007,27/06/2037,4.44,Bộ cấp,,4200,51252,"Chưa KT
(Đã XDCB)",a,a,a,,,a,a,,,a
6,Công ty Cổ phần Đầu tư LHB Đại Việt,"Điểm cát, sỏi sông Hồng, xã An Thịnh",Văn Yên,"Cát, sỏi",527/GP-UBND,29/03/2019,29/03/2034,5.6,Tỉnh cấp,,8000,,Chưa KT,a,a,a,,,,,,,
7,Công ty Cổ phần Đầu tư Phát triển Khoáng sản Yên Bái,"Đá hoa Minh Tiến II, xã Minh Tiến","Xã Lục Yên, Tỉnh Lào Cai, Việt Nam",Đá vôi trắng,350/GP-BTNMT,16/12/2022,16/12/2052,31.25,Bộ cấp,,227870,1157300,Chưa KT,,,a,,,,,,,
8,Công ty Cổ phần Đầu tư Thương mại Khoáng sản Yên Bái,"Đá vôi Đồng Bông, xã Viễn Sơn","Phường Yên Bái, tỉnh Lào Cai",Đá làm VLXDTT,666/GP-UBND,25/04/2022,24/04/2039,12,Tỉnh cấp,,55000,,Chưa KT,a,a,a,,,,,,,
9,Công ty Cổ phần Đầu tư Thương mại Thành Phát,"Mỏ đá vôi dạng khối 
Nặm Ngập, TT. Yên Thế (cấp lại)",Lục Yên ,Đá vôi trắng,993/GP-UBND,30/06/2011,30/12/2025,0.5,Tỉnh cấp,Hết hạn,2000,,Đang KT,a,a,a,,,a,a,,,a
10,Công ty Cổ phần Đầu tư Xây dựng Thương mại Long Phú Cường,"Cát, sỏi sông Chảy xã Tô Mậu",Lục Yên ,"Cát, sỏi",2075/GP-UBND,03/11/2014,03/05/2023,1,Tỉnh cấp,Hết hạn,2400,,"Dừng KT 
(tước quyền sử dụng GP 18 tháng theo QĐ số 2037/QĐ-UBND ngày 04/10/2018; tức đến tháng 04/2020 và theo yêu cầu của UBND tỉnh để hoàn thiện thủ tục thuê đất)",a,a,a,,,a,,,,
11,Công ty Cổ phần ĐTKS Kim Sơn,Xã Vĩnh Lạc,"Phường Yên Bái, Lào Cai",Đá vôi trắng,761/GP-BTNMT,26/04/2011,26/04/2041,11.44,Bộ cấp,,64840,321541,Dừng KT,a,a,a,,,,a,,,
12,Công ty Cổ phần Đường sắt Yên Lào,Xã Lâm Giang (cấp lại),"Phường Yên Bái, Tỉnh Lào Cai, Việt Nam",Đá làm VLXDTT,617/GP-UBND,06/05/2011,13/08/2040,5.2,Tỉnh cấp,,25000,,Đang KT,a,a,a,a,,a,a,,,a
13,Công ty Cổ phần Gang thép BB CIM HOLDINGS (trước đây là Công ty Cổ phần Gang thép Yên Bái),"Núi Vi - Làng Thảo các xã: Hồng Ca, Hưng Khánh, Hưng Thịnh","Xã Lương Thịnh, Lào Cai ",Quặng sắt,2844/GP-BTNMT,08/11/2019,08/11/2047,24.59,Bộ cấp,,,60000,Đang KT,a,a,a,,,,,,,
14,Công ty Cổ phần Hà Quang,"Nậm Búng II, xã Nậm Búng (cấp lại)",Văn Chấn ,Quặng sắt,934/GP-UBND,29/06/2011,29/06/2021,4,Tỉnh cấp,Hết hạn,,20000,Đang KT,a,a,a,,,a,a,,,a
15,Công ty Cổ phần Hà Quang,"Quặng sắt 409, xã Lương Thịnh","Đông Anh, Hà Nội ",Quặng sắt,1725/GP-UBND,15/10/2010,15/10/2027,20,Tỉnh cấp,,,40000,"Dừng KT 
(theo yêu cầu của UBND tỉnh để hoàn thiện thủ tục thuê đất)",a,a,a,,,a,,,,
16,Công ty Cổ phần Hoàng Minh Anh," Khe Ron, xã Hồng Ca",Trấn Yên,Quặng sắt,937/GP-UBND,16/06/2008,16/06/2011,6.66,Tỉnh cấp,Hết hạn,,20000,Đang KT,,,,,,,,,,
17,Công ty Cổ phần Khai khoáng Minh Đức,"Núi 300, xã Hưng Thịnh và xã Hưng Khánh","Thôn Yên Thịnh, Xã Lương Thịnh, Tỉnh Lào Cai",Quặng sắt,1225/GP-BTNMT,24/06/2011,24/06/2041,113,Bộ cấp,,,350000,"Đang KT 
(TB số 20/CV-MĐ ngày 15/6/2023)",a,a,a,a,a,a,a,a,,a
18,Công ty Cổ phần Khai khoáng Minh Đức,"Quặng sắt phía Bắc Núi 300, xã Hưng Thịnh","Thôn Yên Thịnh, Xã Lương Thịnh, Tỉnh Lào Cai",Quặng sắt,1355/GP-BTNMT,04/06/2015,04/06/2045,28.32,Bộ cấp,,,198000,Đang KT,a,a,a,a,a,a,,,,
19,Công ty Cổ phần Khai thác Chế biến Khoáng sản Trường Phát,"Mỏ cát, sỏi sông Chảy xã Hán Đà và xã Đại Minh",Yên Bình,"Cát, sỏi",1639/GP-UBND ,07/10/2010,01/10/2027,13.323,Tỉnh cấp,,20000,,Đang KT,a,a,a,,,a,a,,,
20,Công ty Cổ phần Khai thác khoáng sản Việt Sinh,"Mỏ than nâu Hồng Quang, xã Động Quan","Xã Hồng Quang, Lào Cai",Than,552/GP-UBND,22/04/2010,22/04/2026,14.26,Tỉnh cấp,Hết hạn,,10000,Đang KT,a,a,a,a,a,a,a,,,a
21,Công ty Cổ phần Khai thác Sản xuất và Xây dựng huyện Văn Yên (tên cũ: Công ty Cổ phần SX&XD huyện Văn Yên),Đá vôi xã Đại Phác (cấp lại),"Thôn Đại Thắng, Xã Xuân Ái, Tỉnh Lào Cai",Đá làm VLXDTT,545/GP-UBND,20/04/2011,20/04/2027,2.6,Tỉnh cấp,,12500,,Đang KT,a,a,a,,,a,a,,,a
