ma,loai,so_plugin,so_lan,plugins,ban_goc_tai,ngay_ban_hanh,hieu_luc,bi_sua_doi_boi,bi_thay_the_boi,du_thao_thay_the,ghi_chu
Luật 118/2025,Luật,6,57,hl-vlncn-sct-vn;kho-vlncn-sct-vn;qlks-sct-vn;sd-vlncn-sct-vn;xd-sct-vn;xp-sct-vn,hl-vlncn-sct-vn;kho-vlncn-sct-vn;sd-vlncn-sct-vn;xp-sct-vn,,01/7/2026,,,,Sửa Luật 42/2024 — k5 Đ44 nơi nộp GCN sản xuất TCTN (trích luật)
Luật 135/2025,Luật,4,55,kccn-sct-vn;kho-vlncn-sct-vn;tkm-sct-vn;xd-sct-vn,xd-sct-vn,,01/7/2026,,,,Luật Xây dựng mới — xd-sct-vn
Luật 143/2025,Luật,1,1,kccn-sct-vn,,,,,,,
Luật 144/2025,Luật,1,1,kccn-sct-vn,xd-sct-vn,,,,,,
Luật 146/2025,Luật,3,23,bvmt-sct-vn;kccn-sct-vn;qlks-sct-vn,hc-sct-vn;kho-vlncn-sct-vn;sd-vlncn-sct-vn,,,,,,
Luật 147/2025,Luật,3,69,qlks-sct-vn;quy-hoach-ct-vn;tkm-sct-vn,qlks-sct-vn,,,,,,
Luật 67/2025,Luật,1,3,kccn-sct-vn,qlks-sct-vn,,,,,,
Luật 69/2025,Luật,3,20,hc-sct-vn;hnh-sct-vn;xp-sct-vn,hc-sct-vn,,,,,,
Luật 87/2025,Luật,1,1,kccn-sct-vn,,,,,,,
Luật 88/2025,Luật,3,23,hnh-sct-vn;xp-hc-vlncn-sct-vn;xp-sct-vn,xp-sct-vn,25/6/2025,01/7/2025,,,,Sửa Luật XLVPHC; bản gốc xp-sct-vn/van-ban-goc/chung; đối chiếu ref 10
Luật 90/2025,Luật,1,2,kccn-sct-vn,,,,,,,
Luật 35/2024,Luật,1,4,hnh-sct-vn,hnh-sct-vn,,,,,,
Luật 36/2024,Luật,2,25,hnh-sct-vn;xp-sct-vn,,,,,,,
Luật 42/2024,Luật,9,126,hl-vlncn-sct-vn;hnh-sct-vn;kho-vlncn-sct-vn;qlks-sct-vn;sct-laocai-org-vn;sd-vlncn-sct-vn;vbhc-vn;xp-hc-vlncn-sct-vn;xp-sct-vn,kho-vlncn-sct-vn;sd-vlncn-sct-vn,,01/01/2025,Luật 118/2025 (01/7/2026),,,Luật Quản lý sử dụng vũ khí VLNCN CCHT; VBHN 78/VBHN-VPQH; uỷ quyền cấp GP sử dụng VLNCN cho Sở: QĐ 2867/QĐ-UBND từ 20/8/2026
Luật 54/2024,Luật,4,33,qlks-sct-vn;quy-hoach-ct-vn;tkm-sct-vn;xp-sct-vn,qlks-sct-vn,,01/7/2025,Luật 147/2025,,,Luật Địa chất và Khoáng sản
Luật 55/2024,Luật,3,28,kho-vlncn-sct-vn;pccc-sct-vn;xp-sct-vn,,,,,,,
Luật 61/2020,Luật,1,1,quy-hoach-ct-vn,,,,,,,
Luật 62/2020,Luật,2,7,kho-vlncn-sct-vn;tkm-sct-vn,,,,,,,
Luật 64/2020,Luật,1,1,xd-sct-vn,,,,,,,
Luật 67/2020,Luật,2,6,xp-hc-vlncn-sct-vn;xp-sct-vn,,,,,,,
Luật 50/2019,Luật,1,1,kho-vlncn-sct-vn,,,,,,,
Luật 35/2018,Luật,1,1,quy-hoach-ct-vn,,,,,,,
Luật 14/2017,Luật,2,3,kho-vlncn-sct-vn;sd-vlncn-sct-vn,bvmt-sct-vn,,,,,,
Luật 107/2016,Luật,1,3,kccn-sct-vn,,,,,,,
Luật 3/2016,Luật,1,1,xd-sct-vn,,,,,,,
Luật 50/2014,Luật,1,3,tkm-sct-vn,,,,,,,
Luật 15/2012,Luật,2,2,hl-vlncn-sct-vn;sd-vlncn-sct-vn,,20/6/2012,01/7/2013,Luật 67/2020; Luật 88/2025 (01/7/2025),,,"Luật XLVPHC; bản hợp nhất 63/VBHN-VPQH 2025; Luật 88 bãi bỏ Đ38–49, 51 — thẩm quyền theo NĐ 189/2025"
Luật 60/2010,Luật,1,4,qlks-sct-vn,,,,,,,
Luật 6/2007,Luật,3,5,hc-sct-vn;xp-hc-vlncn-sct-vn;xp-sct-vn,,,,,,,
VBHN 21/VBHN-BNNMT,VBHN,2,7,qlks-sct-vn;tkm-sct-vn,,,,,,,
VBHN 48/VBHN-BNNMT,VBHN,1,4,bvmt-sct-vn,bvmt-sct-vn,,,,,,
VBHN 49/VBHN-BNNMT,VBHN,1,2,bvmt-sct-vn,bvmt-sct-vn,,,,,,
VBHN 63/VBHN-BNNMT,VBHN,1,2,qlks-sct-vn,,,,,,,
VBHN 63/VBHN-VPQH,VBHN,1,3,xp-sct-vn,,,,,,,
VBHN 64/VBHN-BNNMT,VBHN,1,1,qlks-sct-vn,,,,,,,
VBHN 78/VBHN-VPQH,VBHN,3,10,hl-vlncn-sct-vn;kho-vlncn-sct-vn;sd-vlncn-sct-vn,hl-vlncn-sct-vn;kho-vlncn-sct-vn;sd-vlncn-sct-vn;xp-hc-vlncn-sct-vn;xp-sct-vn,,,,,,
NĐ 112/2026,NĐ,1,10,bvmt-sct-vn,bvmt-sct-vn,,,,,,
NĐ 133/2026,NĐ,1,15,xp-sct-vn,xp-sct-vn,,,,,,Xử phạt điện lực — QLNL
NĐ 14/2026,NĐ,2,3,kho-vlncn-sct-vn;xd-sct-vn,bvmt-sct-vn;hnh-sct-vn;kccn-sct-vn;xd-sct-vn,,,,,,
NĐ 16/2026,NĐ,1,1,hnh-sct-vn,kccn-sct-vn,,,,,,
NĐ 178/2026,NĐ,1,11,kccn-sct-vn,kccn-sct-vn,,,,,,
NĐ 180/2026,NĐ,1,7,bvmt-sct-vn,bvmt-sct-vn,,,,,,
NĐ 2/2026,NĐ,1,1,xp-sct-vn,,,,,,,
NĐ 206/2026,NĐ,1,1,xd-sct-vn,,,,,,,
NĐ 207/2026,NĐ,5,130,kccn-sct-vn;kho-vlncn-sct-vn;tkm-sct-vn;xd-sct-vn;xp-sct-vn,xd-sct-vn,,01/7/2026,,,,"Chi tiết Luật Xây dựng 135/2025; kho VLNCN tạm miễn KTCTNT (k1 Đ25, k3 Đ53)"
NĐ 21/2026,NĐ,2,44,qlks-sct-vn;tkm-sct-vn,bvmt-sct-vn;pccc-sct-vn;qlks-sct-vn,,,,,,
NĐ 212/2026,NĐ,2,5,kho-vlncn-sct-vn;xd-sct-vn,xd-sct-vn,,,,,,
NĐ 217/2026,NĐ,6,95,kccn-sct-vn;kho-vlncn-sct-vn;qlks-sct-vn;tkm-sct-vn;xd-sct-vn;xp-sct-vn,xd-sct-vn,,01/7/2026,,,,Quản lý dự án/thiết kế xây dựng — tkm-sct-vn GATE k5 Đ76
NĐ 24/2026,NĐ,2,18,hc-sct-vn;xp-sct-vn,hc-sct-vn;xd-sct-vn,,,,,,
NĐ 25/2026,NĐ,3,17,hc-sct-vn;xp-hc-vlncn-sct-vn;xp-sct-vn,hc-sct-vn,,,,,,
NĐ 26/2026,NĐ,1,16,hc-sct-vn,hc-sct-vn;hnh-sct-vn;kccn-sct-vn;qlks-sct-vn;tkm-sct-vn,,,,,,
